uuid,level,name,std1,app1,app1(%),app2,app2(%),feat1,feat1(%),feat3,feat3(%),feat6,feat6(%),opt1,opt1(%),opt2,opt2(%),opt3,opt3(%)
02-0eae323390b4fd1875d91a9d2640361e,2,ba411tags,,,,16,,,,,,,,,,16,0,16,0
02-0eb9b3af2e4a00837a1b1a854c9ea18c,2,modules,1808,1808,0.0,,,1808,0.0,1808,0.0,1808,0.0,1808,0.0,,,,
02-0ec3ac2054d4681e6c9d4825765209ee,2,z_idle_threads,144,144,0.0,144,0.0,144,0.0,144,0.0,144,0.0,144,0.0,144,0.0,144,0.0
02-0f242017f34f5349c3aec4114c634734,2,__isr_table_entry_z_irq_spurious_irq_698,,,,8,,,,,,,,,,8,0,8,0
02-0f79cf6abfe3321090df0602a15da5af,2,bt_long_wq.lto_priv.0,,,,176,,,,,,,,,,176,0,176,0
02-0fb9d4b1eef721feb0a995ff64d0f89b,2,mpsl_work_stack,,,,1024,,,,,,,,,,1024,0,1024,0
02-0fd8006230149ab229847684e149586d,2,k_cracen_mutex,,,,20,,,,,,,,,,20,0,20,0
02-0fee066581a87194903b7de9e797f974,2,att_handle_rsp_thread.lto_priv.0,,,,4,,,,,,,,,,4,0,4,0
02-0fff88c07796f6997bf005593b15c507,2,__isr_table_entry_z_irq_spurious_irq_741,,,,8,,,,,,,,,,8,0,8,0
02-1094c50e30c0bef11e77f3a92e17d2f9,2,_sched_spinlock,4,4,0.0,4,0.0,4,0.0,4,0.0,4,0.0,4,0.0,4,0.0,4,0.0
02-10aec35353f9c4096a71c38654c3d402,2,cancel,,,,28,,,,,,,,,,28,0,28,0
02-116f6eead9a6c0a2b2077bcf0f77f7a9,2,_context.lto_priv.0,,,,68,,,,,,,,,,68,0,68,0
02-11e58088702fbcb5b7356e4dde5d11c8,2,pending_recycled_events,,,,24,,,,,,,,,,24,0,24,0
02-1240feb14683c41180f948436d2e4819,2,k_cracen_prng_context_mutex,,,,20,,,,,,,,,,20,0,20,0
02-12db0d6ce4c0a9e11c9b85f82e3a9d03,2,__isr_table_entry_z_irq_spurious_irq_536,,,,8,,,,,,,,,,8,0,8,0
02-12f5c7ec4a00534ed2de6811a721aa56,2,__isr_table_entry_z_irq_spurious_irq_692,,,,8,,,,,,,,,,8,0,8,0
02-130e43a92b201aa621ce2e8389b33809,2,__isr_table_entry_z_irq_spurious_irq_600,,,,8,,,,,,,,,,8,0,8,0
02-1337a295530ff5e7d99474a9c51ba4f2,2,global_data.lto_priv.1,,,,1412,,,,,,,,,,1412,0,1412,0
02-13d8c90a8a1bec2fb8a75aa1bd60d694,2,gen_method_sc,,,,25,,,,,,,,,,25,0,25,0
02-141e2443481eb13a4f9c569ffa45bf4f,2,__isr_table_entry_z_irq_spurious_irq_781,,,,8,,,,,,,,,,8,0,8,0
02-14e96c12cb011a1c738131926ffcd07d,2,notification_cb_flag.lto_priv.0,,,,1,,,,,,,,,,1,0,1,0
02-14fa9ee59d7284f27994623bcb8b0d9d,2,s_in_job.1,16,16,0.0,16,0.0,16,0.0,16,0.0,16,0.0,16,0.0,16,0.0,16,0.0
02-151d1a2720cc2ad45e71f0bb7e1999fe,2,__isr_table_entry_z_irq_spurious_irq_562,,,,8,,,,,,,,,,8,0,8,0
02-161cfd5335f0121c6d03f4c87e5b7eb0,2,__isr_table_entry_z_irq_spurious_irq_635,,,,8,,,,,,,,,,8,0,8,0
02-16d4322ecda43ccdf20ec094d9b8fce6,2,is_adv.lto_priv.0,,,,1,,,,,,,,,,1,0,1,0
02-171683ecbb3d313ad07176a76ac3e2ad,2,net_buf_fixed_alloc_hci_cmd_pool,,,,12,,,,,,,,,,12,0,12,0
02-17f3c8150bbe6d2746c1b69a8505383b,2,timeout_list,,,,8,,,,,,,,,,8,0,8,0
02-180b93aa36fd59406c67a07a1f3bacb0,2,spi_nor_0_config,,,,52,,,,,,,,,,52,0,52,0
02-180fcbc28f7da66d219eb6193481a3ae,2,data.0,,2,,2,0,,,,,2,0,,,,,,
02-181686124912cfcd54e5656588111330,2,__isr_table_entry_z_irq_spurious_irq_577,,,,8,,,,,,,,,,8,0,8,0
02-1871ac29eef772378903e1ad40a709db,2,__isr_table_entry_z_irq_spurious_irq_645,,,,8,,,,,,,,,,8,0,8,0
02-19220b95a8f4090fc9a83d3c4631d378,2,__isr_table_entry_z_irq_spurious_irq_585,,,,8,,,,,,,,,,8,0,8,0
02-195f566f15c6abd6437e22aa076b3cc2,2,dummy.2,2,2,0.0,2,0.0,2,0.0,2,0.0,2,0.0,2,0.0,2,0.0,2,0.0
02-199c8c824685a14f12c655ab3cec42fa,2,__isr_table_entry_z_irq_spurious_irq_793,,,,8,,,,,,,,,,8,0,8,0
02-1a05735884afb705b17707c0d28c7304,2,tx_power.0,,1,,1,0,,,,,1,0,,,,,,
02-1a33ac3b8f1047d41c405aed5b2a7da6,2,sdc_mempool,,,,3286,,,,,,,,,,3050,0,3050,0
02-1acd1f648b570c729a904a7c2fa45dfc,2,__compound_literal*,723,723,0.0,907,25.45,723,0.0,723,0.0,723,0.0,723,0.0,907,25.45,907,25.45
02-1be2a59822ac2b798bbe0f7f39d7c96d,2,valid_keys,,,,380,,,,,,,,,,380,0,380,0
02-1c7a642e3da9ace3bf2f9f3d74389ef5,2,attr_dis_svc,,,,140,,,,,,,,,,140,0,140,0
02-1c987e58b73dcf137d6cf963b03fc4d8,2,net_buf_data_sync_evt_pool,,,,258,,,,,,,,,,258,0,258,0
02-1ceb4f06941087b7e65c996cabf65a57,2,__isr_table_entry_z_irq_spurious_irq_754,,,,8,,,,,,,,,,8,0,8,0
02-1de6ed55fdfe4c9ac8915f003dc29e29,2,static_regions,,,,12,,,,,,,,,,12,0,12,0
02-1eb2bc1166d1d74ba9bb1028ca8e6b3e,2,ops.0.lto_priv.1,,,,40,,,,,,,,,,40,0,40,0
02-1eeb597ae5b2378ac64687f6ac033dea,2,chrc_pool,,,,8,,,,,,,,,,8,0,8,0
02-1f28c642af8abbb8e8f379b2890961ec,2,__isr_table_entry_z_irq_spurious_irq_541,,,,8,,,,,,,,,,8,0,8,0
