uuid,level,name,std1_release
02-1f28c642af8abbb8e8f379b2890961ec,2,__isr_table_entry_z_irq_spurious_irq_541,8
02-1f6e037c3f5b90135dd7d6290b37f813,2,__devstate_dts_ord_121.lto_priv.0,2
02-1f708f7cb182875d325a3ad6f18d6083,2,do_calibration,4
02-1f8bfa068eb8a0bef7239c1b07065262,2,__isr_table_entry_z_irq_spurious_irq_646,8
02-2014095ba9eb4feaebcfefa21a3fec60,2,m_lut.2,12
02-209aa434231c99b705e9816597224478,2,last_static_handle.lto_priv.0,2
02-20cb65f9f3dde538e0538e11c9bfe9e9,2,metadata_usage_flags_mapping,28
02-212cb1c2414ce0b61e7f9a98625cfb18,2,hids_obj_mutex,20
02-21c024ac445d674cb016099b9c56e4a0,2,__isr_table_entry_z_irq_spurious_irq_788,8
02-21e3414514e6514ab4f00b9624e2b8cb,2,net_buf_data_acl_tx_pool,148
02-2224c753ef85eaa6472d4676eb8ab6ed,2,global_data.lto_priv.0,8
02-2301b94c387ec3fd46d23322a23ba98d,2,__isr_table_entry_nrfx_isr_irq_41.1,8
02-231501e35bcae1c7777c6f600bfa635f,2,__isr_table_entry_z_irq_spurious_irq_540,8
02-2318e7ee33268445a722331053f937e0,2,acl_tx_pool,44
02-2372f2c1eb2fa143a1ac5a5ef0c02a66,2,hids_obj_ctx_lib,24
02-24f34957bcb53b18e335d802761c8220,2,buttons_scan,48
02-258422090f47f8bd38fbbca7359d7ab3,2,s_in_joblist.1,32
02-262eb2c46b4acf72689eb9b114455b72,2,__isr_table_entry_z_irq_spurious_irq_676,8
02-26bf1a76f5d7520e4b804261f2fec0f6,2,handlers.lto_priv.1,120
02-28ac9d66ccb16afc16326810dd1ed798,2,__pinctrl_dev_config__device_dts_ord_125,12
02-295d065d5fe18fef983202dcdc66c08e,2,__isr_table_entry_z_irq_spurious_irq_580,8
02-2a402a7140c21e2eb89b80201ba822f3,2,conn_auth_info_callbacks,16
02-2a79af16c33b81f2ea3ea39d23a582c3,2,__isr_table_entry_z_irq_spurious_irq_574,8
02-2b4f06a81f70478114a1cebc4cfec5b7,2,__isr_table_entry_z_irq_spurious_irq_716,8
02-2ba54e8ccf33cac1c84b2cb92c088fd6,2,spim_00_rx_buffer,8
02-2bfe69ba94a21f6a7d80166b40aa5f7f,2,pairing_work.lto_priv.0,16
02-2c0791a1d9b3080ff34aca850c4f7085,2,net_buf_fixed_hci_cmd_pool,4
02-2c40a935ac797e0a900c12a752f79657,2,leds.lto_priv.0,32
02-2d2decddfd93a4019122fbc2399f4f05,2,__isr_table_entry_z_irq_spurious_irq_578,8
02-2d43a71b726546c6b87c9c14e797c0be,2,__isr_table_entry_z_irq_spurious_irq_740,8
02-2d9ac9d013a9d0c281e0d9497aa65919,2,z_arm_tls_ptr,4
02-2f158c4731d76d5975b8546d85de1b34,2,C:\,3289
02-2f7b9b698641d824779736780bd3155e,2,__isr_table_entry_z_irq_spurious_irq_710,8
02-2fc8406ac33306b248a6f27a63295f4a,2,__isr_table_entry_z_irq_spurious_irq_546,8
02-305e3a2cf6368f489ba75171ad0f89a4,2,__isr_table_entry_z_irq_spurious_irq_787,8
02-315ee5f2c2cdcf46f7efce36e3363bcb,2,__isr_table_entry_z_irq_spurious_irq_619,8
02-31cfd6e3d717b4ec46e27110289ebf19,2,__isr_table_entry_z_irq_spurious_irq_767,8
02-322a86d26ab160d4c8b6a3b2d50b3bf9,2,spim_21_tx_buffer,8
02-3306eb1299f87e1eaf88939d7f306a2c,2,__isr_table_entry_z_irq_spurious_irq_778,8
02-33126d0591c999555b16e2f286021002,2,ll_ctrl_shared_context,24
02-334b30cc91ae3e9ad5c22199dd298c73,2,__isr_table_entry_z_irq_spurious_irq_609,8
02-337bea3d62b3a0b0a67cbe69981757c4,2,prng_pool_remaining,4
02-341a4eb48d459e3c509356c44e06370e,2,__isr_table_entry_z_irq_spurious_irq_739,8
02-346e8b97ef1b34e7632f1122675aac1a,2,CSWTCH.*,187
02-35ca05639f20c04e4314ee4b69a85133,2,mlen.1,2
02-35cd44e69664c9b52bf9fcfeae436b14,2,__isr_table_entry_z_irq_spurious_irq_699,8
02-365c9bd4a8161176c4f9797dba6c2dd5,2,__isr_table_entry_z_irq_spurious_irq_623,8
02-37671950dacc3483f090f19c10dfb46d,2,__isr_table_entry_z_irq_spurious_irq_599,8
02-37c6ae61635797a3852bf091496dc562,2,memory_jobs.5,48
02-37fb2617e09d48273636984b6838f889,2,__isr_table_entry_z_irq_spurious_irq_785,8
02-38bc2537b3da74055564899c14bb7e5b,2,hci_cmd_pool,44
02-3906b4ead27b70fcb2034f8d49fa1639,2,__isr_table_entry_z_irq_spurious_irq_670,8
02-39108eb4c90b6ccb7411c50468fe17e7,2,__isr_table_entry_z_irq_spurious_irq_673,8
02-393461184f75407588ce36b924b824c3,2,_net_buf_acl_tx_pool,80
02-3a398a246c2152d9ecc35b059c0da1f1,2,hfclk_users,4
02-3a489591cbc0848d0d882e3afb3617d8,2,__isr_table_entry_z_irq_spurious_irq_588,8
02-3b40c9535c04929ec10769ab49b4de32,2,CMD_ECC_PTONCURVE,20
02-3b8238b190187fceef29c292cb88b526,2,z_main_stack,3584
02-3bb729b20beac8a5e0aaa9e0def1e6d4,2,__isr_table_entry_z_irq_spurious_irq_613,8
02-3c098f83e9848435d4577fc25050a74b,2,__isr_table_entry_z_irq_spurious_irq_538,8
02-3cc0c8ebf3774c888b4a9b88a7a628c9,2,__isr_table_entry_z_irq_spurious_irq_586,8
02-3cca42c4f48f32184dc7d459a6842407,2,z_main_thread,144
02-3d170f020eec630a6305158ecdf7d409,2,__isr_table_entry_z_irq_spurious_irq_763,8
02-3e8dd2b371986dbd9129a20fc78914e8,2,__isr_table_entry_z_irq_spurious_irq_563,8
02-3ead3c83895be48dd3dbd5197a977955,2,__isr_table_entry_z_irq_spurious_irq_625,8
02-3eedbbe64a9375b756c5a3304928e466,2,rx_work,16
02-406b1fcdef03b1b851048a9adada3087,2,sys_work_q_stack,2048
02-40f5e378ac7f8a1f8421222d9960c5f7,2,procedures_on_connect,16
02-414cc71d87741a10b1f28b63eb063b1b,2,__isr_table_entry_z_irq_spurious_irq_674,8
02-41b8569c09ac955fe309f82c090523bc,2,k_cracen_prng_pool_mutex,20
02-41cbb60e3ac104be00d14fb4ac2897dc,2,__isr_table_entry_z_irq_spurious_irq_773,8
02-42f86d67a99165084f6a70befd3ad108,2,__isr_table_entry_z_irq_spurious_irq_762,8
02-4339c33948cbc877bca41f6222bb59c6,2,__isr_table_entry_z_irq_spurious_irq_643,8
02-43e69b1afbbf06f120eba809ba1a5fe4,2,__isr_table_entry_z_irq_spurious_irq_593,8
02-43e8532a0c3d87eaef202cfa1294bee8,2,__isr_table_entry_z_irq_spurious_irq_663,8
02-44030823eb9c6bd6fa6bdd2a149ed9ce,2,store_id_work,16
02-449181b22d492532607e1342bd197c04,2,__isr_table_entry_z_irq_spurious_irq_627,8
02-44f0cbab43d4061c1dc047bd6a579531,2,sym_*,40
02-4509f0f5c202138f43987e209f9796a2,2,prng.lto_priv.0,64
02-4527790f301c55e12e9d9eacd6049ff0,2,spi_00z_config,76
02-45dc2c7a024ae0030919e5a73ee5d190,2,net_buf_data_att_pool,380
02-45ecbf4a85f7d23b050f9bb46d03dbc3,2,__isr_table_entry_z_irq_spurious_irq_611,8
02-47352518f90e6887f4dd7acbc9a14580,2,settings_load_srcs,8
02-484c3e22c0a675bebb47e4b7669baddb,2,__isr_table_entry_z_irq_spurious_irq_590,8
02-486e6cd412181b733ecb26303f4bd9ba,2,__isr_table_entry_z_irq_spurious_irq_662,8
02-48e4aa0d21f89bc0fe4d182662350798,2,__isr_table_entry_z_irq_spurious_irq_715,8
02-491bbb25fea39ee590be0558756b2623,2,normal_events,48
02-4948eedccbc71144b12d114e7a797a0d,2,__isr_table_entry_z_irq_spurious_irq_759,8
02-4a60a8becb8e89acd1821508d252f412,2,s_out_joblist.0,16
02-4cedb0880a241a30d61d247643369527,2,__isr_table_entry_z_irq_spurious_irq_771,8
02-4d349e80eb72987ab3c335792642c9c4,2,__isr_table_entry_z_irq_spurious_irq_737,8
02-4d36d820831920fd9f41e7b03148ab91,2,__isr_table_entry_z_irq_spurious_irq_688,8
02-4d52d00180902f839aad5715c8df022d,2,net_buf_fixed_alloc_sync_evt_pool,12
02-4d77598f8c9fc664c4c1ec0687216eb9,2,__isr_table_entry_z_irq_spurious_irq_560,8
02-4d8c9a99f9f3d4fb20d71624f6131081,2,__isr_table_entry_z_irq_spurious_irq_547,8
02-4d9ff4cae398d7999a2626241a8271ff,2,conn_cbs.lto_priv.0,8
02-4dca0eea1036fa7aab82159243056434,2,__isr_table_entry_z_irq_spurious_irq_735,8
02-4e6e68d8ff00b0b4d02c52bdb71e4168,2,__pinctrl_dev_config__device_dts_ord_97,12
02-4ee97f6086ad41bf02d475708cafd6f0,2,gpio_nrfx_p2_cfg.lto_priv.0,24
02-4eeb35f940bad3fd21cfb1a041afd313,2,__isr_table_entry_z_irq_spurious_irq_764,8
02-4f2eabb2ebb9594b2fd440a6d24b4c5e,2,__isr_table_entry_z_irq_spurious_irq_591,8
02-4f3ea50b05fd2c7061dc7c52e5453755,2,__isr_table_entry_z_irq_spurious_irq_722,8
02-50028adf0338f63f0a559b136cffd118,2,free_tx,24
02-5126693f03ad68e0ad3deb67e08fd609,2,__isr_table_entry_z_irq_spurious_irq_607,8
02-5144142a2e42ae867ec4f9f3155961ed,2,__isr_table_entry_z_irq_spurious_irq_614,8
02-51e282ecb968fe77c46b7f5becdfe9b0,2,crc8_ccitt_small_table,16
02-523af537946b79c4f8369ed39ba78605,2,ad,24
02-52f305dbb42abc4b3afbbdc1333c96f9,2,__isr_table_entry_z_irq_spurious_irq_746,8
02-531a60f76bf728d40f7575364f7aa5ab,2,spim_21_rx_buffer,8
02-532b7cf399c312ed78f9c904452ed1ee,2,__isr_table_entry_z_irq_spurious_irq_626,8
02-539bc426bca0b9eadafb554477e2cc60,2,__isr_table_entry_z_irq_spurious_irq_557,8
02-53dcc91dde99dd5eff3c0d334e2735b3,2,__isr_table_entry_z_irq_spurious_irq_642,8
02-53e9eae6e9cea5a06e61e79e67b9a031,2,__isr_table_entry_z_irq_spurious_irq_658,8
02-5426681785af1c3f996166a5629cc52c,2,__isr_table_entry_z_irq_spurious_irq_675,8
02-54bbe062cc020a9f87f0b6828066eeaf,2,z_malloc_heap,12
02-568adf19bbb4533ecef8e5bd09f04e13,2,__isr_table_entry_z_irq_spurious_irq_691,8
02-56a011a18920310e6bde0409b97e7e0d,2,_k_mem_slab_buf_att_slab,88
02-56abcb07223e29a85d26d755870fc60d,2,sc_range,8
02-573442d06ab6a002b4cd74a58fc90b5b,2,bt_addr_none,6
02-58293abdf4814edc30b89a71f41be88f,2,__isr_table_entry_z_irq_spurious_irq_747,8
02-58a91dd6f5a80383f60f8aebd0e33619,2,g_mpsl_device_ccm,4
02-58ee38df9308863cc8bd829ad5bb20ff,2,__isr_table_entry_z_irq_spurious_irq_708,8
02-5944ccc98ede485749aa4a06e05889eb,2,__isr_table_entry_z_irq_spurious_irq_727,8
02-598b7610947d476fddb624460f712be3,2,__isr_table_entry_z_irq_spurious_irq_753,8
02-5a46f983699ff81b4c73d0ea53d3d175,2,settings_subsys_initialized,1
02-5a4f5dc7fe05801ad2480c2a2a0542d5,2,attr__1_gatt_svc,80
02-5a64d28cc54b1ad1265d053db12b4508,2,db.lto_priv.0,8
02-5b11fa95b59d37b384e8679ecead1b46,2,__isr_table_entry_z_irq_spurious_irq_723,8
02-5b7bb533d21149d376c84dca412c7186,2,__isr_table_entry_z_irq_spurious_irq_680,8
02-5dc388e15b588ae1c21523ff1884e6f2,2,__isr_table_entry_z_irq_spurious_irq_633,8
02-5dc930e9731a9022d1f1800de5e7e241,2,__pinctrl_dev_config__device_dts_ord_56,12
02-5dd1e275bada6dcfd76c25f381db6bcd,2,sc_restore_params,48
02-5df9b1de4c4094f33d502ecf855c39c1,2,net_buf_fixed_fragments,4
02-5e1497bf88ea1c252050083f2a68ac83,2,cmd_complete_or_status,72
02-5e1ef73463793ff4e58690c1297a4694,2,__devstate_dts_ord_12.lto_priv.0,2
