uuid,level,name,std1,stdz1,stdz1(%),opt1,opt1(%),app1,app1(%),app2,app2(%),feat1,feat1(%),feat2,feat2(%),feat3,feat3(%),feat4,feat4(%),feat5,feat5(%),feat6,feat6(%),feat7,feat7(%),feat8,feat8(%),feat9,feat9(%),feat10,feat10(%)
02-0eb9b3af2e4a00837a1b1a854c9ea18c,2,modules,13659,14523,6.33,13659,0.0,13659,0.0,13659,0.0,13659,0.0,13659,0.0,13659,0.0,13667,0.06,13659,0.0,13659,0.0,13659,0.0,13659,0.0,13659,0.0,13659,0.0
02-1003d7d17e0068ffa89071fa06bc4afd,2,sdc_hci_cmd_le_set_default_phy,4,,,4,0.0,4,0.0,4,0.0,4,0.0,4,0.0,4,0.0,4,0.0,4,0.0,4,0.0,4,0.0,4,0.0,4,0.0,4,0.0
02-11a073fbb7de02da60f4e82b746a2033,2,m.11,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,
02-12e6356573b9ccf91c5011abe9ddd59b,2,mfy.7,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,
02-14531855120b874f1c54ad81f2b1a743,2,mpsl_is_initialized,12,,,12,0.0,12,0.0,12,0.0,12,0.0,12,0.0,12,0.0,12,0.0,12,0.0,12,0.0,12,0.0,12,0.0,12,0.0,12,0.0
02-1529636d7a6690fe864707082b217426,2,__floatsidf,,,,,,,,,,,,,,,,,,,,34,,,,,,,,,
02-15471298a00f9cb185b03dcaadafd432,2,mpsl_ecb_block_encrypt_extended,16,,,16,0.0,16,0.0,16,0.0,16,0.0,16,0.0,16,0.0,16,0.0,16,0.0,16,0.0,16,0.0,16,0.0,16,0.0,16,0.0
02-1563d57a2fbbd7ccc9f840c4ef99a6b2,2,__device_dts_ord_10,20,20,0.0,20,0.0,20,0.0,20,0.0,20,0.0,20,0.0,20,0.0,20,0.0,20,0.0,20,0.0,20,0.0,20,0.0,24,20.0,24,20.0
02-15a0b175a666af94be9f8fe1bfaaa14f,2,__subdf3,,,,,,,,,,,,,,,,,,,,634,,,,,,,,,
02-165d389be7e2f0063375cc34e319ce48,2,ocrypto_aes_ecb_decrypt,,,,,,,,,,,,,,,,,,,,72,,,,,,,,,
02-17f7b57db91243313cfe4348ab99dff6,2,sdc_hci_cmd_le_set_default_subrate,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,
02-186c3c0f84230707910945c4b734c348,2,gatt_read_mult_vl_encode,4,4,0.0,4,0.0,4,0.0,4,0.0,4,0.0,4,0.0,4,0.0,4,0.0,4,0.0,4,0.0,4,0.0,4,0.0,4,0.0,4,0.0
02-187062a2c9dd4b77dd99a8d3bc381981,2,const_table,,,,,,,,,,,,,,,,,,,,256,,,,,,,,,
02-187e0cc955574a504d8b5a735936660c,2,sdc_hci_cmd_le_set_adv_data,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,
02-18d627716a6c8f54e1778dd4fd788eee,2,sdc_hci_cmd_le_long_term_key_request_reply,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,
02-196619566c722e6b26550137870b82c0,2,__aeabi_memmove8,,,,,,,,,,,,,,,,,,,,,,,,,,52,,,
