uuid,level,name,std1,std1_release,std1_release(%)
02-057cca003c75ace7e5f5b414a260937e,2,k_queue_init.lto_priv.2,,24,
02-05905459d24f47b78effd0bfbed9302d,2,__isr_table_entry__isr_wrapper_irq_496,4,4,0.0
02-0591fde52cb021e21414b153f5e33385,2,z_impl_k_wakeup,,68,
02-059ba0c47aba578cf918a39cef8dd0be,2,unpend_thread_no_timeout.lto_priv.3,48,,
02-05b67673090ed0a70a90af25b687a078,2,__isr_table_entry_z_irq_spurious_irq_693,8,8,0.0
02-05c2e88813a279f6dc7882ca1ec2ea7a,2,__isr_table_entry_z_irq_spurious_irq_640,8,8,0.0
02-05ecb497efdaa15d9f4c158e5b488ad4,2,m_low_irq_latency_set.lto_priv.0,36,36,0.0
02-05faf20c8b050264204701bcf037f654,2,__isr_table_entry__isr_wrapper_irq_166,4,4,0.0
02-0657590a0131683eec29e9c8be3a0357,2,mm_context_all_release,50,50,0.0
02-065b90766f290b8a9aa70c5be60e5735,2,z_abort_thread_timeout.lto_priv.6.lto_priv.0,6,,
02-06aa6fa8bdc2078e7e1bd903e70c8f6a,2,connected,392,296,-24.49
02-06e274348a9823857effc05c1c1c2a53,2,__isr_table_entry__isr_wrapper_irq_426,4,4,0.0
02-06f6018516bf4870684982ba118e590c,2,m_hfclk_interrupt_disable,24,24,0.0
02-0733ec0f8b2fdddef01b18aa8843b5bb,2,__isr_table_entry__isr_wrapper_irq_504,4,4,0.0
02-0748f3fe7904e44d34f7cec95dd82e16,2,bt_att_status,64,64,0.0
02-07ce825987cb131dd42009887b7044ca,2,nrf_gpio_reconfigure.lto_priv.0.lto_priv.0,154,,
02-07d0ad8df9e5749d90e6b55bec5797a8,2,__isr_table_entry__isr_wrapper_irq_116,4,4,0.0
02-0809b289893a06c000c478fe4ce5bfe6,2,zms_gc.lto_priv.0,414,414,0.0
02-0810fb2841b7777c3be7bdcf2c32cda5,2,tx_notify_process,144,96,-33.33
02-0817fca9197ca2a96267f30adaf166f1,2,__isr_table_entry__isr_wrapper_irq_58,4,4,0.0
02-085ec9028a75bdc55dea593afae9f6a4,2,att_find_info_req,108,108,0.0
02-088878faad7992453e58d3734932437c,2,irq_handler.lto_priv.0,424,424,0.0
02-08ab7a81299f7f9c82673fb4be74aad7,2,__isr_table_entry_z_irq_spurious_irq_770,8,8,0.0
02-08b3494b3452e7e3ddda32a2a33ccaf9,2,hal_rcs_sig_rem_radio,760,760,0.0
02-08b9a115afb50a4a70b2c11ce21e16d2,2,m_trx_dr_callback,1828,1828,0.0
02-08be9eb4c983bd77dadc3d2b92f5166e,2,sx_hw_reserve,80,80,0.0
02-08c111dd0ef276130bbb284f993e6757,2,__isr_table_entry__isr_wrapper_irq_524,4,4,0.0
02-08cab96dc795a16bf8f450979905a89d,2,sdc_cfg_set.constprop.0,156,156,0.0
