uuid,parent,level,identifier,name,size
22226,10002,2,:\bt_l2cap_create_pdu_timeout.constprop.0,bt_l2cap_create_pdu_timeout.constprop.0,64
22227,10002,2,:\settings_nvs_save.lto_priv.0,settings_nvs_save.lto_priv.0,280
22231,10002,2,:\device_is_ready.lto_priv.6.lto_priv.0,device_is_ready.lto_priv.6.lto_priv.0,22
22233,10002,2,:\read_report_map.lto_priv.0,read_report_map.lto_priv.0,24
22236,10002,2,:\clk_init.lto_priv.0,clk_init.lto_priv.0,80
22237,10002,2,:\nrf_security_mutex_unlock,nrf_security_mutex_unlock,4
22242,10002,2,:\psa_driver_wrapper_get_builtin_key,psa_driver_wrapper_get_builtin_key,208
22243,10002,2,:\hci_driver_close.lto_priv.0,hci_driver_close.lto_priv.0,56
22244,10002,2,:\sdc_hci_cmd_le_read_max_data_length,sdc_hci_cmd_le_read_max_data_length,4
22246,10002,2,:\sdc_hci_cmd_vs_zephyr_write_bd_addr,sdc_hci_cmd_vs_zephyr_write_bd_addr,4
22250,10002,2,:\bt_settings_encode_key.constprop.0,bt_settings_encode_key.constprop.0,88
22252,10002,2,:\sdc_hci_cmd_vs_conn_event_extend,sdc_hci_cmd_vs_conn_event_extend,4
22253,10002,2,:\k_cracen_prng_context_mutex,k_cracen_prng_context_mutex,20
22254,10002,2,:\mbedtls_threading_psa_globaldata_mutex,mbedtls_threading_psa_globaldata_mutex,20
22255,10002,2,:\bt_addr_le_none,bt_addr_le_none,7
22256,10002,2,:\bt_hci_disconnect,bt_hci_disconnect,54
22259,10002,2,:\hci_driver_api.lto_priv.0,hci_driver_api.lto_priv.0,12
22260,10002,2,:\sdc_hci_cmd_le_encrypt,sdc_hci_cmd_le_encrypt,4
22261,10002,2,:\mpsl_fem_lna_configuration_clear,mpsl_fem_lna_configuration_clear,12
22262,10002,2,:\read_name.lto_priv.0,read_name.lto_priv.0,24
22264,10002,2,:\k_sched_lock,k_sched_lock,40
22266,10002,2,:\dis_svc,dis_svc,8
22267,10002,2,:\nrf_gpio_pin_set.lto_priv.1.lto_priv.0,nrf_gpio_pin_set.lto_priv.1.lto_priv.0,24
22269,10002,2,:\sys_clock_tick_get,sys_clock_tick_get,48
22272,10002,2,:\psa_finish_key_creation.constprop.0,psa_finish_key_creation.constprop.0,64
22274,10002,2,:\onoff_stop.lto_priv.0,onoff_stop.lto_priv.0,48
22279,10002,2,:\k_cracen_irq_event_for_pke,k_cracen_irq_event_for_pke,12
22280,10002,2,:\bt_conn_lookup_handle,bt_conn_lookup_handle,60
22282,10002,2,:\mpsl_timeslot_session_open,mpsl_timeslot_session_open,124
22283,10002,2,:\mpsl_fem_init,mpsl_fem_init,14
22284,10002,2,:\read_str.lto_priv.0,read_str.lto_priv.0,40
22290,10002,2,:\cracen_get_opaque_size,cracen_get_opaque_size,136
22293,10002,2,:\counter.lto_priv.0,counter.lto_priv.0,80
22294,10002,2,:\bt_settings_store,bt_settings_store,76
22296,10002,2,:\settings_handler_bt,settings_handler_bt,24
22300,10002,2,:\mpsl_clock_hfclk_release,mpsl_clock_hfclk_release,40
22301,10002,2,:\psa_extend_key_usage_flags.lto_priv.1.lto_priv.0,psa_extend_key_usage_flags.lto_priv.1.lto_priv.0,26
22302,10002,2,:\sdc_support_le_2m_phy,sdc_support_le_2m_phy,28
22303,10002,2,:\sdc_hci_cmd_le_set_scan_response_data,sdc_hci_cmd_le_set_scan_response_data,4
22304,10002,2,:\k_sem_take.lto_priv.6.lto_priv.0,k_sem_take.lto_priv.6.lto_priv.0,66
22308,10002,2,:\clean_up_unfinished_provisioning.lto_priv.0,clean_up_unfinished_provisioning.lto_priv.0,72
22313,10002,2,:\k_sem_give.lto_priv.6.lto_priv.0,k_sem_give.lto_priv.6.lto_priv.0,80
22314,10002,2,:\z_impl_k_yield,z_impl_k_yield,136
22318,10002,2,:\z_tls_current,z_tls_current,4
22320,10002,2,:\sdc_hci_cmd_le_set_random_address,sdc_hci_cmd_le_set_random_address,4
22321,10002,2,:\bt_conn_lookup_addr_le,bt_conn_lookup_addr_le,52
22322,10002,2,:\cracen_mac_update,cracen_mac_update,596
22323,10002,2,:\cracen_kmu_prepare_key,cracen_kmu_prepare_key,80
22328,10002,2,:\psa_import_key,psa_import_key,476
22329,10002,2,:\fixed_data_unref.lto_priv.0,fixed_data_unref.lto_priv.0,2
22335,10002,2,:\clkstarted_handle.constprop.0,clkstarted_handle.constprop.0,76
22337,10002,2,:\mpsl_is_initialized,mpsl_is_initialized,12
22340,10002,2,:\usage_fault.constprop.0,usage_fault.constprop.0,92
22345,10002,2,:\pin_init.constprop.0,pin_init.constprop.0,48
22348,10002,2,:\_1_gatt_svc,_1_gatt_svc,8
22349,10002,2,:\read_info.lto_priv.0,read_info.lto_priv.0,24
22354,10002,2,:\sys_slist_remove.lto_priv.0.lto_priv.0,sys_slist_remove.lto_priv.0.lto_priv.0,32
22357,10002,2,:\sdc_hci_cmd_vs_conn_update,sdc_hci_cmd_vs_conn_update,100
22359,10002,2,:\process_event.lto_priv.0,process_event.lto_priv.0,540
22360,10002,2,:\sdc_support_phy_update_peripheral,sdc_support_phy_update_peripheral,28
22363,10002,2,:\k_mem_slab_free,k_mem_slab_free,82
22365,10002,2,:\__udivmoddi4,__udivmoddi4,668
22368,10002,2,:\psa_mac_finalize_alg_and_key_validation.constprop.0,psa_mac_finalize_alg_and_key_validation.constprop.0,56
22371,10002,2,:\bt_l2cap_update_conn_param,bt_l2cap_update_conn_param,84
22373,10002,2,:\z_handle_obj_poll_events,z_handle_obj_poll_events,44
22375,10002,2,:\z_sys_init_run_level.lto_priv.0,z_sys_init_run_level.lto_priv.0,72
22376,10002,2,:\bt_gatt_attr_write_ccc,bt_gatt_attr_write_ccc,188
22378,10002,2,:\nrf_gpio_pin_port_decode.lto_priv.1.lto_priv.0,nrf_gpio_pin_port_decode.lto_priv.1.lto_priv.0,32
22380,10002,2,:\cracen_mac_setup.constprop.0,cracen_mac_setup.constprop.0,516
22382,10002,2,:\handle_flush.lto_priv.0,handle_flush.lto_priv.0,2
22383,10002,2,:\bt_conn_disconnect,bt_conn_disconnect,64
22390,10002,2,:\hci_rx_pool.lto_priv.0,hci_rx_pool.lto_priv.0,44
22391,10002,2,:\sdc_hci_cmd_le_write_suggested_default_data_length,sdc_hci_cmd_le_write_suggested_default_data_length,4
22392,10002,2,:\k_work_cancel_delayable,k_work_cancel_delayable,38
22396,10002,2,:\hci_driver_send.lto_priv.0,hci_driver_send.lto_priv.0,1572
22397,10002,2,:\sx_pk_ecop2mem_be,sx_pk_ecop2mem_be,42
22398,10002,2,:\db_hash_process.lto_priv.0,db_hash_process.lto_priv.0,4
22400,10002,2,:\sdc_cfg_set,sdc_cfg_set,448
22408,10002,2,:\bt_l2cap_send_pdu.constprop.0,bt_l2cap_send_pdu.constprop.0,72
22409,10002,2,:\bt_ready.lto_priv.0,bt_ready.lto_priv.0,688
22410,10002,2,:\id_create.constprop.0,id_create.constprop.0,172
22412,10002,2,:\mpsl_calibration_timer_handle,mpsl_calibration_timer_handle,28
22413,10002,2,:\sdc_hci_get,sdc_hci_get,32
22417,10002,2,:\mbedtls_threading_psa_rngdata_mutex,mbedtls_threading_psa_rngdata_mutex,20
22419,10002,2,:\sx_pk_wait,sx_pk_wait,100
22420,10002,2,:\read_blvl.lto_priv.0,read_blvl.lto_priv.0,34
22423,10002,2,:\mpsl_fem_lna_configuration_set,mpsl_fem_lna_configuration_set,12
22425,10002,2,:\__device_dts_ord_113,__device_dts_ord_113,20
22428,10002,2,:\cracen_release,cracen_release,104
22429,10002,2,:\sdc_hci_cmd_cb_read_authenticated_payload_timeout,sdc_hci_cmd_cb_read_authenticated_payload_timeout,4
22432,10002,2,:\k_work_reschedule,k_work_reschedule,96
22433,10002,2,:\mpsl_timeslot_session_close,mpsl_timeslot_session_close,60
22436,10002,2,:\puts,puts,64
22437,10002,2,:\z_add_timeout,z_add_timeout,244
22438,10002,2,:\__NVIC_EnableIRQ.lto_priv.0,__NVIC_EnableIRQ.lto_priv.0,28
22442,10002,2,:\sdc_hci_cmd_le_set_data_related_address_changes,sdc_hci_cmd_le_set_data_related_address_changes,4
22447,10002,2,:\nvs_gc.lto_priv.0,nvs_gc.lto_priv.0,392
22449,10002,2,:\bt_id_set_adv_own_addr.constprop.0,bt_id_set_adv_own_addr.constprop.0,188
22450,10002,2,:\k_sleep.lto_priv.0.lto_priv.0,k_sleep.lto_priv.0.lto_priv.0,168
22453,10002,2,:\bt_smp_update_keys,bt_smp_update_keys,258
22462,10002,2,:\k_queue_get.lto_priv.2.lto_priv.0,k_queue_get.lto_priv.2.lto_priv.0,184
22463,10002,2,:\entropy_psa_crypto_rng_api.lto_priv.0,entropy_psa_crypto_rng_api.lto_priv.0,8
22465,10002,2,:\smp_send.constprop.0,smp_send.constprop.0,44
22467,10002,2,:\atomic_set.lto_priv.7.lto_priv.0,atomic_set.lto_priv.7.lto_priv.0,16
22470,10002,2,:\bus_fault.constprop.0,bus_fault.constprop.0,108
22472,10002,2,:\sdc_hci_cmd_cb_set_event_mask_page_2,sdc_hci_cmd_cb_set_event_mask_page_2,10
22478,10002,2,:\bt_hci_recv,bt_hci_recv,196
22487,10002,2,:\__device_dts_ord_118,__device_dts_ord_118,20
22489,10002,2,:\psa_reserve_free_key_slot,psa_reserve_free_key_slot,132
22490,10002,2,:\sc_indicate.constprop.0,sc_indicate.constprop.0,84
22491,10002,2,:\__device_dts_ord_117,__device_dts_ord_117,20
22492,10002,2,:\sc_indicate.part.0.lto_priv.0,sc_indicate.part.0.lto_priv.0,16
22495,10002,2,:\sdc_hci_cmd_vs_zephyr_read_chip_temp,sdc_hci_cmd_vs_zephyr_read_chip_temp,44
22498,10002,2,:\k_cracen_irq_event_for_cryptomaster,k_cracen_irq_event_for_cryptomaster,12
22499,10002,2,:\z_arm_nmi,z_arm_nmi,14
22500,10002,2,:\k_work_init_delayable,k_work_init_delayable,24
22501,10002,2,:\mpsl_fem_pa_configuration_clear,mpsl_fem_pa_configuration_clear,12
22504,10002,2,:\sx_pk_get_output_ops,sx_pk_get_output_ops,56
22506,10002,2,:\smp_reset.lto_priv.0,smp_reset.lto_priv.0,42
22512,10002,2,:\process_pending_cmd.lto_priv.0,process_pending_cmd.lto_priv.0,176
22513,10002,2,:\__devstate_dts_ord_57.lto_priv.0,__devstate_dts_ord_57.lto_priv.0,2
22514,10002,2,:\att_write_rsp.constprop.0,att_write_rsp.constprop.0,192
22515,10002,2,:\unpend_thread_no_timeout.lto_priv.0.lto_priv.0,unpend_thread_no_timeout.lto_priv.0.lto_priv.0,20
22519,10002,2,:\__devstate_dts_ord_4.lto_priv.0,__devstate_dts_ord_4.lto_priv.0,2
22523,10002,2,:\bt_smp_pkey_ready.lto_priv.0,bt_smp_pkey_ready.lto_priv.0,164
22525,10002,2,:\z_sched_wake_thread,z_sched_wake_thread,70
22527,10002,2,:\sdc_hci_cmd_le_add_device_to_resolving_list,sdc_hci_cmd_le_add_device_to_resolving_list,4
22529,10002,2,:\strlen,strlen,16
