uuid,level,name,std1,stdz1,stdz1(%),sci,sci(%)
02-3372af3c02900bba27f6c78efc20d0b8,2,__udivmoddi4,668,668,0.0,668,0.0
02-33b309a10b2f4936997a72d144b3ad7c,2,sdc_hci_cmd_le_remove_device_from_resolving_list,4,,,,
02-341ce0f2fa8c731ed14bda91b02a48b8,2,__func__.0,,11,,11,0
02-346e8b97ef1b34e7632f1122675aac1a,2,CSWTCH.*,36,133,269.44,108,200.0
02-35dcf79f4bb7f5a38294e23f9d3f450b,2,sdc_hci_cmd_le_set_data_length,4,,,,
02-36992d242dda47d2ff0eabb61a894a04,2,pdu_validate_feature_rsp,,14,,14,0
02-36e3252034447fad7e24ac6e5520c89a,2,__l_vfprintf,1204,1204,0.0,1204,0.0
02-37116fb118c85a0a3d4808cc56c490a8,2,mpsl_fem_utils_available_cc_channels_cache,64,,,,
02-37ce67a7e5350711ddd83cb7a47ff341,2,lll_rand_isr_get,,36,,36,0
02-386ded15827584aee3f64bf5b5b7b443,2,sdc_hci_get,32,,,,
02-38d7b76b771634bb6aaae4ffde5922a8,2,_sw_isr_table,2168,2168,0.0,2168,0.0
02-3c7d8749c3b7ad413a219934e93aeaad,2,__func__.2,,11,,11,0
02-3db7dc0057a435fef710653759da812b,2,sdc_hci_cmd_le_set_host_feature,4,,,,
02-40107b4903bf893c5c2d378bad0078cb,2,sdc_hci_cmd_le_add_device_to_filter_accept_list,4,,,,
02-40f9d6a270ce403168b27be8f621bb09,2,llcp_pdu_decode_conn_param_rsp,,68,,80,0
02-427d22b2582ea2c78bf73f049a83f08f,2,sdc_hci_cmd_cb_set_event_mask,10,,,,
02-4287a4df4ae50ebfb8cb668ef27e7b98,2,memcmp,,32,,32,0
02-44bc0db5d2dd6c5374bff9488d9fe398,2,sdc_hci_cmd_lc_read_remote_version_information,4,,,,
02-44f0cbab43d4061c1dc047bd6a579531,2,sym_*,99738,,,,
02-45aee495eb8f5adddfa7f91514ff57cd,2,sdc_hci_cmd_sp_read_rssi,4,,,,
02-4652480a53d1dd1883fa73da28d772b7,2,mpsl_calibration_timer_handle,28,,,,
02-4687293ff1fdc5b845e8e1f2080248df,2,delay_machine_code.0,6,6,0.0,6,0.0
02-46f42a309d6661f02bd58b91fbc8c1e4,2,__device_dts_ord_112,,32,,32,0
02-4701b0b9ce625dd7502bfe7640e0cf00,2,sdc_hci_data_put,20,,,,
02-4bad7a6401e781b067bb23360f2a14dc,2,sdc_hci_cmd_vs_zephyr_read_static_addresses,72,,,,
02-4c1212de781c372519dac7ae0120762e,2,sdc_hci_cmd_le_enable_encryption,4,,,,
02-4e6a9f14c548489566d2e6c0cb94db28,2,radio_pkt_tx_set,,12,,12,0
02-4f22ba7b5d42ca7f3f12d71ce804dfc1,2,sdc_hci_cmd_vs_zephyr_write_bd_addr,4,,,,
02-50484c19f1afdaf3841a0d821ed393d2,2,kernel,7088,6938,-2.12,6938,-2.12
02-50e3390154a5f071db315c73020338d4,2,sdc_hci_cmd_le_rand,4,,,,
02-5170d5382a77c6f1ddc9beedc901869c,2,__ultoa_invert,172,172,0.0,172,0.0
02-51f07bbcf76d88565b5acfd4928ec136,2,sdc_hci_cmd_le_read_resolving_list_size,4,,,,
02-5381d1a58cfe50698c7b2e2ce9518e7b,2,sdc_init,184,,,,
02-549d03b74a95de1856e7451effbc608d,2,radio_tmr_end_capture,,2,,2,0
02-56cf9376072de12e0503c1e6cdfcc79a,2,radio_rssi_status_reset,,2,,2,0
02-574b9dee7d3ba7c1f232fa4ff8e4555e,2,pdu_validate_ping_req,,14,,14,0
02-590949f79777c9a10e217b8f9aca2c81,2,sdc_hci_cmd_vs_zephyr_read_chip_temp,44,,,,
02-59e1d417d3fb311949f47213a6b744b1,2,mpsl_dppi_fixed_channels_set,48,,,,
02-5c755b935c34bbd087828cc738c0beee,2,__device_dts_ord_12,20,,,,
02-5d4119c4e9a08b09849b42b09af58829,2,m.9,,16,,16,0
02-5d44dcda813b24bcee43a2b82b301db4,2,sdc_hci_cmd_le_set_scan_response_data,4,,,,
02-5e98023bc6cae943b9312984fc7ff7e4,2,sdc_support_phy_update_peripheral,28,,,,
02-645ee04a8ee9517a31abc98578ca35d4,2,mpsl_fem_lna_configuration_clear,12,,,,
02-676b69744b13b9a4e38499db2414fb88,2,port_offset.1,16,16,0.0,16,0.0
02-67c12cd4c60b59a33b27650add04bbac,2,__device_dts_ord_13,,32,,32,0
02-688151b51fdffdadc9ca97ffd24cd63d,2,sdc_hci_cmd_le_read_adv_physical_channel_tx_power,4,,,,
02-6a5eb215dc803c7120a300de42f1bcb3,2,sdc_hci_cmd_le_read_suggested_default_data_length,4,,,,
02-6b4ef49db7115e8eeee49a52ae0d2393,2,pdu_validate_start_enc_rsp,,14,,14,0
02-6c5e8387bbbdfa593956d4998b59c4dc,2,sdc_hci_cmd_vs_set_adv_randomness,4,,,,
02-6d014c827f2e60fad42ed77e39404b2a,2,mfy.4,,16,,16,0
02-6da920faf70d6b63656abd45f7b44302,2,sdc_hci_cmd_vs_set_role_priority,4,,,,
02-6df9d491c5ffbe70c4e28ad7dd9e7fbf,2,MPSL_IRQ_CLOCK_Handler,216,,,,
02-6ec5fe6d64666f022230311e08203cbd,2,sdc_hci_cmd_le_read_max_data_length,4,,,,
02-716af30655f8f3d9b32750dca746ddfb,2,memset,16,16,0.0,16,0.0
02-72d4bd12d6ca07360602e0d6cbc8dc4b,2,memcpy,,26,,,
02-7382fb32d5312028c15053ff4055062f,2,pdu_validate_clock_accuracy_rsp,,14,,14,0
02-756a00348bccfd069ec3912f77bfbf34,2,__device_dts_ord_11,,32,,32,0
02-779f8a3a8c60f325a2171a2653d27f6e,2,zephyr,1118,1118,0.0,1118,0.0
02-783cad94f71d8877d877302361df9c24,2,mpsl_fem_enable,12,,,,
02-7a89d7924aca15af011233ea71ca9034,2,mpsl_clock_hfclk_latency_set,32,,,,
02-7c3b0e2a281cce518549f780a8e2866e,2,mpsl_temperature_get,124,,,,
02-7dfd0916e87aaa90a45bf1ec3391e970,2,subsys,911,79105,8583.32,83988,9119.32
02-7ff7df998f71fceec5e640ad433745de,2,sdc_hci_cmd_cb_read_authenticated_payload_timeout,4,,,,
02-80367281f919fa030cfc7b17710a29bc,2,rx_queue.6,24,24,0.0,24,0.0
02-804298ebeaf91b8fc3ef71301cb15dc3,2,sdc_support_dle_peripheral,28,,,,
02-80442c59504cad018b8f4ee05dddbcf5,2,pdu_validate_unknown_rsp,,14,,14,0
02-8400f5182cf13af69a66ca2143195a7c,2,pdu_validate_per_init_feat_xchg,,14,,14,0
02-84917115db7fc982cd67bd759fd0890c,2,SystemCoreClock,4,4,0.0,4,0.0
02-84d6ed06b5ca719e3b4a46bd60a0a021,2,sdc_hci_cmd_le_set_adv_enable,4,,,,
02-851cfadb14da2e07a741e8bb29642ea9,2,strnlen,24,24,0.0,24,0.0
02-871a9e0d1427c15588fc0890900ed830,2,sdc_hci_cmd_vs_scan_channel_map_set,4,,,,
02-89a59689861225eb508a89e526638dd8,2,bt_dev,4,4,0.0,4,0.0
02-8c3c4cb5331a457c9abfc8d0850d84dc,2,sdc_support_le_2m_phy,28,,,,
02-8c891d1d45dfdee521ee427923633f52,2,sdc_hci_cmd_le_read_phy,4,,,,
02-8df0e2f059d6f8dbbe3a6881565fba63,2,mfy_after_cen_offset_get.4,,16,,16,0
02-8fe82be134debbb9190760615767752e,2,mpsl_init,164,,,,
02-90efe5ec2897aad082d9275a9410de6a,2,mpsl_fem_pa_configuration_clear,12,,,,
02-916af099fb31f40f2ff6625d916f6c87,2,sdc_hci_cmd_le_read_filter_accept_list_size,4,,,,
