uuid,level,name,std2.8.0,std2.9.0,std2.9.0(%),std3.0.1,std3.0.1(%)
11-5e17869a9637bab9749c5d1b050901fb,11,sx_mac_resume_state,,,,170,
11-5e6a00aa47c52f931666912e46e34422,11,cracen_ecc_curve_is_weierstrass,,,,28,
11-5f12bda86c956125ae79ee3ab29e5114,11,hash_wait,,,,30,
11-614314f6e55b9e6df7a94aca782fcdec,11,sx_cmdma_reset,66,66,0.0,66,0.0
11-6346f9fb375e68ecd2eb7df87b425dba,11,si_be_add,20,20,0.0,20,0.0
11-63d2c9fcb1575ca1713481ece37b5c0b,11,sx_ba413_digest,,,,300,
11-63eafb9f67d9e2c919cd0ae694344405,11,cracen_key_agreement,,,,424,
11-63f07302530d0eeb26210b8d293ca571,11,cracen_release,108,108,0.0,108,0.0
11-64cf3385f8b576fc62a55776593f08fb,11,sx_trng_get,204,204,0.0,212,3.92
11-652c572603b2104d34fbfc8d1bf2f097,11,sx_blkcipher_ecb_simple,164,164,0.0,164,0.0
11-65cf4a2982e74173411aef770d5c31a4,11,cracen_acquire,64,64,0.0,64,0.0
11-69ac5e6fcbc20ac0d9f2ffc693994aa1,11,safe_memset,22,22,0.0,22,0.0
11-6b1be41f651c7e252605bc8e9af62a6a,11,sx_mac_hw_reserve,,,,64,
11-6ba2cad89de45baf2a6ea0f5474a4da4,11,sx_hash_status,,,,36,
11-715e9088cd05d324e440b49eefb24f06,11,sx_mac_generate,,,,190,
11-718238efcb42b3c11f24f02743fe39c0,11,cracen_prepare_ik_key,,,,76,
11-7414f84f765131e89b353fd51d6c27d6,11,ecc_create_genprivkey,,,,24,
11-76619e731c6c24654cce6513e7f5b6f6,11,ba414,76,76,0.0,1429,1780.26
11-783cf0567bfd41e17310cd0e491d7b34,11,si_task_partial_run,,,,36,
11-787be2c2253b7d871588ccb1e885b28f,11,sx_mac_create_aescmac,,,,156,
11-79fd94f6aa502d54bd5334df8e36e2f4,11,trigger_task_and_wait_for_event_or_error,,,,84,
11-7b1536f6dbbdcee9dfdff6773a8c4532,11,lib_kmu_is_slot_empty,,,,20,
11-7bb450ffbcb8b2c73b5f66663190353c,11,ik,10,10,0.0,380,3700.0
11-803becaef1e4e3cd05f96d1663faf2c6,11,sx_mac_save_state,,,,138,
11-898d2e67c2fbd44c7e429f626ae2c533,11,sx_trng_flush,,,,48,
11-8d9b8511a9594a9a8021b5a5dcc5ef41,11,check_ecc_key_attributes,,,,160,
11-97f13ec2c9a9c0929f3db88b0ecc91ea,11,start_hmac_computation.part.0,,,,68,
11-995539bb3d1c3359043ed9a81e219abc,11,ba414ep_ucode,4892,4892,0.0,4892,0.0
11-9a27c189f00cac9c2d95af33f6ac7fa3,11,set_provisioning_in_progress,,,,48,
11-9a5eff93bd7d7e1a1b4bfbd381848e7a,11,si_wq_wake_next,,,,32,
11-9b32d9649ee8c38bba1b672afc81cd39,11,finish_hmac_computation,,,,90,
11-9bb8a15c9264313a863a093b93898572,11,sx_hash_create,,,,8,
11-9e7fc347d670bd4f4e679bca8813cb1a,11,get_kmu_slot_count,,,,62,
11-9ff51d73e3635e5c1243a88e05c66d85,11,sx_hash_create_ba413,,,,88,
11-a1662c848bb22494326e4e12cab38086,11,sx_hash_feed,,,,94,
11-a61a1617af254a61bfc87a5ab689bfff,11,push_kmu_key_to_ram,,,,76,
11-a759499ada52f45b9b7a10b59642cb77,11,cracen_hmac_finish,,,,94,
11-a7f76fed27d6dc9711ff7b2ae6763d7c,11,sx_wrpkmem,,,,28,
11-a803ace2d934560ce5985c5906a96561,11,sx_trng_restart,,,,40,
11-a9f2536f40a16d4672b649f9d9d07ac5,11,sx_cmdma_newcmd,,,,40,
11-aa3642c9d14770b2bdaccfead4fabc6b,11,cracen_ecc_get_ecurve_from_psa,,,,148,
11-aa5dc06d6ca089588512366ee3a7efc7,11,sx_hash_get_digestsz,,,,6,
11-aabcec0b3752e8c386fcdd2c881a715c,11,sx_mac_feed,,,,90,
11-af584e1dca17a1b8c3160c8844321ab1,11,hmac_produce,,,,96,
11-b01722dbbe2e5bb7d24643ee20b5b02d,11,si_mac_create_hmac,,,,172,
11-b1fb78806991302538596df0cbb831a4,11,sx_hash_save_state,,,,156,
11-b7931fb0083082f7e5c7039fdefb2664,11,sx_mac_wait,,,,26,
11-b9ebac57d4c33b8ab4bb67daf6fce033,11,constant_memcmp_is_zero,,,,42,
11-baf2aff9cd412fc3ac1c21a42100c844,11,cracen_get_builtin_key,,,,164,
11-bdacff4945acc536c4c9a847d30988e0,11,sx_hash_free,,,,6,
11-beb4c01f7c3a4a6cd15d2ee99a232412,11,mbedtls_psa_platform_get_builtin_key,,,,64,
11-bf9dbac43490cc22bb9b34732ea5f6d6,11,ctr_drbg_update,136,136,0.0,156,14.71
11-bfb6181a5c19683a54de8b01e40b9814,11,cracen_get_opaque_size,,,,136,
11-c29a05e1882edea1007302c219df3e69,11,sx_hash_digest,,,,56,
11-c5d2fa03f27d1c59865bab6c83de380c,11,cracen_kmu_destroy_key,,,,84,
11-c5dbafc45f1550a7bc649f66f3239b1a,11,cracen_load_keyref,,,,228,
11-c77efff9ad49d416dd04ad4e77878783,11,sx_mac_free,,,,26,
11-c90003e1056453234203832ae4f6b09e,11,ba413tags,,,,16,
11-c9f04e5e6cd79f65e551cea14d7981c5,11,cracen_kmu_clean_key,,,,20,
11-d08bf147d66f4fa978536303366289c0,11,sx_hash_get_alg_digestsz,,,,4,
11-d3d450aa99d5d6d8c95be4b76a18e4fa,11,sx_cmdma_start,,,,158,
11-d460684d28abc769f9627cabb1976a70,11,cracen_mac_sign_setup,,,,4,
11-d469bc0f88dd3247a0ab1556bf408ff2,11,ecc_create_genpubkey,,,,132,
11-d5706ca86f5b8815b8543b99e8b3360e,11,cracen_kmu_get_builtin_key,,,,456,
11-d61ba6cad127ca83b2c9a468f3af8fdb,11,rndinrange_create,,,,160,
11-d740729545601bbdf0ee35f0f2bd05f2,11,cracen_init,92,92,0.0,92,0.0
11-d787b0d1b50b2fb305756bc57562178d,11,ba411cfg,,,,28,
