uuid,level,name,std1,app1,app1(%),feat1,feat1(%),feat3,feat3(%),feat6,feat6(%),opt2,opt2(%)
02-05905459d24f47b78effd0bfbed9302d,2,__isr_table_entry__isr_wrapper_irq_496,,,,,,,,,,4,
02-059ce3d629788ac9e834415b29babc22,2,spi_nor_access,,,,,,,,,,132,
02-05b67673090ed0a70a90af25b687a078,2,__isr_table_entry_z_irq_spurious_irq_693,,,,,,,,,,8,
02-05c2e88813a279f6dc7882ca1ec2ea7a,2,__isr_table_entry_z_irq_spurious_irq_640,,,,,,,,,,8,
02-05ec52560623b8198de6740a8dd7e70e,2,sdc_hci_cmd_le_clear_filter_accept_list,4,4,0.0,4,0.0,4,0.0,4,0.0,4,0.0
02-05faf20c8b050264204701bcf037f654,2,__isr_table_entry__isr_wrapper_irq_166,,,,,,,,,,4,
02-0608eaefe83084a9971a8068e83aaf57,2,__aeabi_memcpy8,26,,,26,0.0,,,26,0.0,,
02-06aa6fa8bdc2078e7e1bd903e70c8f6a,2,connected,,,,,,,,,,384,
02-06e274348a9823857effc05c1c1c2a53,2,__isr_table_entry__isr_wrapper_irq_426,,,,,,,,,,4,
02-0733ec0f8b2fdddef01b18aa8843b5bb,2,__isr_table_entry__isr_wrapper_irq_504,,,,,,,,,,4,
02-0748f3fe7904e44d34f7cec95dd82e16,2,bt_att_status,,,,,,,,,,64,
02-07ce825987cb131dd42009887b7044ca,2,nrf_gpio_reconfigure.lto_priv.0.lto_priv.0,,,,,,,,,,154,
02-07d0ad8df9e5749d90e6b55bec5797a8,2,__isr_table_entry__isr_wrapper_irq_116,,,,,,,,,,4,
02-0809b289893a06c000c478fe4ce5bfe6,2,zms_gc.lto_priv.0,,,,,,,,,,450,
02-0810fb2841b7777c3be7bdcf2c32cda5,2,tx_notify_process,,,,,,,,,,144,
02-0817fca9197ca2a96267f30adaf166f1,2,__isr_table_entry__isr_wrapper_irq_58,,,,,,,,,,4,
02-0830ba6cef27a110a2c59b052f95a9a0,2,mpsl_low_priority_process,4,4,0.0,4,0.0,4,0.0,4,0.0,4,0.0
02-0840b53f25750516ae68d62c0d5c14dc,2,sdc_hci_cmd_le_read_remote_features,4,4,0.0,4,0.0,4,0.0,4,0.0,4,0.0
02-085ec9028a75bdc55dea593afae9f6a4,2,att_find_info_req,,,,,,,,,,108,
02-088878faad7992453e58d3734932437c,2,irq_handler.lto_priv.0,,,,,,,,,,424,
02-08ab7a81299f7f9c82673fb4be74aad7,2,__isr_table_entry_z_irq_spurious_irq_770,,,,,,,,,,8,
02-08c111dd0ef276130bbb284f993e6757,2,__isr_table_entry__isr_wrapper_irq_524,,,,,,,,,,4,
02-08d430dcd4a49c69816ff6914197cc5d,2,__isr_table_entry_z_irq_spurious_irq_617,,,,,,,,,,8,
02-08eb15ae38f1e2e90839bae4d3526534,2,__isr_table_entry_z_irq_spurious_irq_720,,,,,,,,,,8,
02-08f98eb6cdc23b73c84749b5b475d606,2,bas_init.lto_priv.0,,,,,,,,,,4,
02-090eab40efd3fd504b6345662cb86b92,2,__isr_table_entry__isr_wrapper_irq_370,,,,,,,,,,4,
02-091b775a4b55c011411f48f9cc074841,2,__isr_table_entry_z_irq_spurious_irq_705,,,,,,,,,,8,
02-0947a265d367ee6b0b8ab856456989b3,2,net_buf_simple_pull_le16,,,,,,,,,,28,
02-099a80051ec92e7b1b22522a7a22642c,2,nrfx_gpio_handler,,,,,,,,,,112,
02-09a211323185172a3285a9fa5e7b75f4,2,sdc_hci_cmd_le_set_adv_params,4,4,0.0,4,0.0,4,0.0,4,0.0,4,0.0
02-09b6f9bc36923a7e8741bff5ded3835b,2,smp_c1,,,,,,,,,,180,
02-09c4fd9c4cd615bc0ea5f27c3cb5618f,2,read_ppcp.lto_priv.0,,,,,,,,,,40,
02-09ca471ceeb45d2cc92c1661bda060e8,2,log_const_bt_ecc,,,,,,,,,,8,
02-0a04c27110abdc95c73f9305088e97c3,2,free_list_remove_bidx,,,,,,,,,,92,
02-0a1fca5018224df01fccd9049c2f4ecf,2,__isr_table_entry_z_irq_spurious_irq_628,,,,,,,,,,8,
02-0a4338ea3651b750487758d27cb904c1,2,ops.0,40,40,0.0,40,0.0,40,0.0,40,0.0,,
02-0a6860e83a5bef7351fe2f9e60a849ec,2,init_mem_slab_obj_core_list,,,,,,,,,,100,
02-0a720d420f98c3fe21ccbfd2a2f6a104,2,net_buf_simple_pull.part.0,,,,,,,,,,28,
02-0ace0db909023ba85024f09916ecee6c,2,__isr_table_entry_z_irq_spurious_irq_775,,,,,,,,,,8,
02-0afd0d2c3d96ddbeb460faed416fa3b9,2,__isr_table_entry__isr_wrapper_irq_500,,,,,,,,,,4,
02-0b0030d554d1320fa293688b5c2e6baa,2,smp_init,,,,,,,,,,76,
02-0b1317248ee6ac8d6c992cc221ce0953,2,smp_pairing_failed,,,,,,,,,,88,
02-0b7c04e5d7710e5ff21d56aee7d14536,2,bt_addr_le_copy.lto_priv.3.lto_priv.0,,,,,,,,,,14,
02-0baa757cf1c2eb0529df392b37709912,2,bt_id_set_adv_private_addr.constprop.0,,,,,,,,,,112,
02-0bb404d52f0eeefdd34e968ccd87c99e,2,__isr_table_entry_z_irq_spurious_irq_757,,,,,,,,,,8,
02-0bf56aec61dae65a6100f98bda3ab310,2,hci_driver_close.lto_priv.0,,,,,,,,,,44,
02-0ce798db6b3dfdf9186eea35fef0efbc,2,__isr_table_entry__isr_wrapper_irq_148,,,,,,,,,,4,
02-0ceed713246d7df85a4c6174607645dc,2,bt_gatt_foreach_attr_type.constprop.0,,,,,,,,,,308,
02-0cf59f76f39bb326a8cff94aa205b995,2,le_param_req,,,,,,,,,,24,
02-0d0d26d6cb4f5b9fbb91267fef5156f2,2,bt_conn_reset_rx_state,,,,,,,,,,18,
02-0d3f42bbc69d289a9267c86583353761,2,__isr_table_entry__isr_wrapper_irq_450,,,,,,,,,,4,
02-0d543c4be79df37b105fac33572a3c1d,2,__isr_table_entry__isr_wrapper_irq_164,,,,,,,,,,4,
02-0db62b86e8f39f5607bcfdae9cf94f3c,2,wait_q.0,8,8,0.0,8,0.0,8,0.0,8,0.0,8,0.0
02-0dff49faf0f543995117aa5f1f7c8fae,2,mbedtls_threading_psa_globaldata_mutex,,,,,,,,,,20,
02-0e3226bb5894e16952512bbc8ab48227,2,rx_work_handler,,,,,,,,,,632,
02-0eb70b66a36643d931aa590d56213c7d,2,hids_outp_rep_ref_read,,,,,,,,,,38,
02-0eb9b3af2e4a00837a1b1a854c9ea18c,2,modules,9557,9557,0.0,9557,0.0,9557,0.0,9557,0.0,,
02-0f136d9604dbc292d653fb4b1b414746,2,z_irq_spurious,,,,,,,,,,10,
02-0f1c1e33ca0e658ca20ddb2337fb2f61,2,call_handler,,,,,,,,,,62,
02-0f242017f34f5349c3aec4114c634734,2,__isr_table_entry_z_irq_spurious_irq_698,,,,,,,,,,8,
02-0f85e9215830daf3600468a741647a3f,2,mpsl_lock,,,,,,,,,,20,
02-0fbedaa99f3319829dd81d64082d6d8d,2,__isr_table_entry__isr_wrapper_irq_514,,,,,,,,,,4,
