uuid,level,name,std1,app1,app1(%),feat1,feat1(%),feat3,feat3(%),feat6,feat6(%),opt2,opt2(%)
02-12f5c7ec4a00534ed2de6811a721aa56,2,__isr_table_entry_z_irq_spurious_irq_692,,,,,,,,,,8,
02-130e43a92b201aa621ce2e8389b33809,2,__isr_table_entry_z_irq_spurious_irq_600,,,,,,,,,,8,
02-1337a295530ff5e7d99474a9c51ba4f2,2,global_data.lto_priv.1,,,,,,,,,,1412,
02-13d8c90a8a1bec2fb8a75aa1bd60d694,2,gen_method_sc,,,,,,,,,,25,
02-141e2443481eb13a4f9c569ffa45bf4f,2,__isr_table_entry_z_irq_spurious_irq_781,,,,,,,,,,8,
02-14e96c12cb011a1c738131926ffcd07d,2,notification_cb_flag.lto_priv.0,,,,,,,,,,1,
02-151d1a2720cc2ad45e71f0bb7e1999fe,2,__isr_table_entry_z_irq_spurious_irq_562,,,,,,,,,,8,
02-161cfd5335f0121c6d03f4c87e5b7eb0,2,__isr_table_entry_z_irq_spurious_irq_635,,,,,,,,,,8,
02-16d4322ecda43ccdf20ec094d9b8fce6,2,is_adv.lto_priv.0,,,,,,,,,,1,
02-171683ecbb3d313ad07176a76ac3e2ad,2,net_buf_fixed_alloc_hci_cmd_pool,,,,,,,,,,12,
02-17b4e41cc091386d9171227ae00fd0d3,2,entropy_psa_crypto_rng_api.lto_priv.0,,,,,,,,,,8,
02-17f3c8150bbe6d2746c1b69a8505383b,2,timeout_list,,,,,,,,,,8,
02-180b93aa36fd59406c67a07a1f3bacb0,2,spi_nor_0_config,,,,,,,,,,52,
02-180fcbc28f7da66d219eb6193481a3ae,2,data.0,,2,,,,,,2,0,,
02-181686124912cfcd54e5656588111330,2,__isr_table_entry_z_irq_spurious_irq_577,,,,,,,,,,8,
02-1871ac29eef772378903e1ad40a709db,2,__isr_table_entry_z_irq_spurious_irq_645,,,,,,,,,,8,
02-19220b95a8f4090fc9a83d3c4631d378,2,__isr_table_entry_z_irq_spurious_irq_585,,,,,,,,,,8,
02-199c8c824685a14f12c655ab3cec42fa,2,__isr_table_entry_z_irq_spurious_irq_793,,,,,,,,,,8,
02-1a05735884afb705b17707c0d28c7304,2,tx_power.0,,1,,,,,,1,0,,
02-1a33ac3b8f1047d41c405aed5b2a7da6,2,sdc_mempool,,,,,,,,,,3153,
02-1acd1f648b570c729a904a7c2fa45dfc,2,__compound_literal*,723,723,0.0,723,0.0,723,0.0,723,0.0,907,25.45
02-1c29ac0ab69660bfc944d1a913ecda64,2,cq,,,,,,,,,,32,
02-1c7a642e3da9ace3bf2f9f3d74389ef5,2,attr_dis_svc,,,,,,,,,,140,
02-1c987e58b73dcf137d6cf963b03fc4d8,2,net_buf_data_sync_evt_pool,,,,,,,,,,258,
02-1ceb4f06941087b7e65c996cabf65a57,2,__isr_table_entry_z_irq_spurious_irq_754,,,,,,,,,,8,
02-1de6ed55fdfe4c9ac8915f003dc29e29,2,static_regions,,,,,,,,,,12,
02-1eb2bc1166d1d74ba9bb1028ca8e6b3e,2,ops.0.lto_priv.1,,,,,,,,,,40,
02-1eeb597ae5b2378ac64687f6ac033dea,2,chrc_pool,,,,,,,,,,8,
02-1f28c642af8abbb8e8f379b2890961ec,2,__isr_table_entry_z_irq_spurious_irq_541,,,,,,,,,,8,
02-1f708f7cb182875d325a3ad6f18d6083,2,do_calibration,,,,,,,,,,4,
02-1f8bfa068eb8a0bef7239c1b07065262,2,__isr_table_entry_z_irq_spurious_irq_646,,,,,,,,,,8,
02-209aa434231c99b705e9816597224478,2,last_static_handle.lto_priv.0,,,,,,,,,,2,
02-211dd468f59421e1f54d4f28503a4a79,2,sbox,,,,,,,,,,256,
02-212cb1c2414ce0b61e7f9a98625cfb18,2,hids_obj_mutex,,,,,,,,,,20,
02-21c024ac445d674cb016099b9c56e4a0,2,__isr_table_entry_z_irq_spurious_irq_788,,,,,,,,,,8,
02-21e3414514e6514ab4f00b9624e2b8cb,2,net_buf_data_acl_tx_pool,,,,,,,,,,148,
02-2224c753ef85eaa6472d4676eb8ab6ed,2,global_data.lto_priv.0,,,,,,,,,,8,
02-231501e35bcae1c7777c6f600bfa635f,2,__isr_table_entry_z_irq_spurious_irq_540,,,,,,,,,,8,
02-2318e7ee33268445a722331053f937e0,2,acl_tx_pool,,,,,,,,,,52,
02-2372f2c1eb2fa143a1ac5a5ef0c02a66,2,hids_obj_ctx_lib,,,,,,,,,,24,
02-24f34957bcb53b18e335d802761c8220,2,buttons_scan,,,,,,,,,,48,
02-262eb2c46b4acf72689eb9b114455b72,2,__isr_table_entry_z_irq_spurious_irq_676,,,,,,,,,,8,
02-285414842246296ce7dbe25ff262b8a7,2,__devstate_dts_ord_57.lto_priv.0,,,,,,,,,,2,
02-2899a307f7abea9477bab6ed46691eea,2,spi_nor_api,,,,,,,,,,20,
02-28ba64f5d894447c9ed6dd80bb8a743f,2,nordic_str.1,,,,,,,,,,24,
02-295d065d5fe18fef983202dcdc66c08e,2,__isr_table_entry_z_irq_spurious_irq_580,,,,,,,,,,8,
02-2a402a7140c21e2eb89b80201ba822f3,2,conn_auth_info_callbacks,,,,,,,,,,16,
02-2a79af16c33b81f2ea3ea39d23a582c3,2,__isr_table_entry_z_irq_spurious_irq_574,,,,,,,,,,8,
02-2b4f06a81f70478114a1cebc4cfec5b7,2,__isr_table_entry_z_irq_spurious_irq_716,,,,,,,,,,8,
02-2ba54e8ccf33cac1c84b2cb92c088fd6,2,spim_00_rx_buffer,,,,,,,,,,8,
02-2bfe69ba94a21f6a7d80166b40aa5f7f,2,pairing_work.lto_priv.0,,,,,,,,,,16,
02-2c0791a1d9b3080ff34aca850c4f7085,2,net_buf_fixed_hci_cmd_pool,,,,,,,,,,4,
02-2d2decddfd93a4019122fbc2399f4f05,2,__isr_table_entry_z_irq_spurious_irq_578,,,,,,,,,,8,
02-2d43a71b726546c6b87c9c14e797c0be,2,__isr_table_entry_z_irq_spurious_irq_740,,,,,,,,,,8,
02-2d9ac9d013a9d0c281e0d9497aa65919,2,z_arm_tls_ptr,,,,,,,,,,4,
02-2db96d6f02ac01cb7e91a4a1ffee6e7d,2,__isr_table_entry_nrfx_isr_irq_3.1,,,,,,,,,,8,
02-2f158c4731d76d5975b8546d85de1b34,2,C:\,852,852,0.0,852,0.0,852,0.0,852,0.0,,
02-2f7b9b698641d824779736780bd3155e,2,__isr_table_entry_z_irq_spurious_irq_710,,,,,,,,,,8,
02-2fc8406ac33306b248a6f27a63295f4a,2,__isr_table_entry_z_irq_spurious_irq_546,,,,,,,,,,8,
02-305e3a2cf6368f489ba75171ad0f89a4,2,__isr_table_entry_z_irq_spurious_irq_787,,,,,,,,,,8,
02-305edcea222759244e2546491dcc688d,2,__devstate_dts_ord_107,,,,,,,,,,2,
02-31018dbaa0ff0db14f5a62e5bb76b1e7,2,nrf_rram_api,,,,,,,,,,20,
02-315ee5f2c2cdcf46f7efce36e3363bcb,2,__isr_table_entry_z_irq_spurious_irq_619,,,,,,,,,,8,
02-316e7f39b0580b06e68ccd7c94a1d88b,2,str.3,129,129,0.0,129,0.0,129,0.0,129,0.0,129,0.0
02-31cfd6e3d717b4ec46e27110289ebf19,2,__isr_table_entry_z_irq_spurious_irq_767,,,,,,,,,,8,
02-31f51d4f3304e8ffa596e1d557839ae9,2,ecdh_signal,,,,,,,,,,16,
02-3306eb1299f87e1eaf88939d7f306a2c,2,__isr_table_entry_z_irq_spurious_irq_778,,,,,,,,,,8,
02-334b30cc91ae3e9ad5c22199dd298c73,2,__isr_table_entry_z_irq_spurious_irq_609,,,,,,,,,,8,
02-341a4eb48d459e3c509356c44e06370e,2,__isr_table_entry_z_irq_spurious_irq_739,,,,,,,,,,8,
02-346e8b97ef1b34e7632f1122675aac1a,2,CSWTCH.*,,,,,,,,,,167,
02-34fc1f93e26bd729ac39f980924cae12,2,__pinctrl_state_pins_0__device_dts_ord_106,,,,,,,,,,12,
02-35c6c7cd5d0fbe9a47b8741502adac3e,2,uarte20_poll_out_byte,,,,,,,,,,1,
02-35cd44e69664c9b52bf9fcfeae436b14,2,__isr_table_entry_z_irq_spurious_irq_699,,,,,,,,,,8,
02-365c9bd4a8161176c4f9797dba6c2dd5,2,__isr_table_entry_z_irq_spurious_irq_623,,,,,,,,,,8,
02-37671950dacc3483f090f19c10dfb46d,2,__isr_table_entry_z_irq_spurious_irq_599,,,,,,,,,,8,
02-37fb2617e09d48273636984b6838f889,2,__isr_table_entry_z_irq_spurious_irq_785,,,,,,,,,,8,
02-38bc2537b3da74055564899c14bb7e5b,2,hci_cmd_pool,,,,,,,,,,52,
02-38d7b76b771634bb6aaae4ffde5922a8,2,_sw_isr_table,2168,2168,0.0,2168,0.0,2168,0.0,2168,0.0,,
02-3906b4ead27b70fcb2034f8d49fa1639,2,__isr_table_entry_z_irq_spurious_irq_670,,,,,,,,,,8,
02-39108eb4c90b6ccb7411c50468fe17e7,2,__isr_table_entry_z_irq_spurious_irq_673,,,,,,,,,,8,
02-391c9c39b231a91ee275c744d40f9328,2,__devstate_dts_ord_111,,,,,,,,,,2,
02-393461184f75407588ce36b924b824c3,2,_net_buf_acl_tx_pool,,,,,,,,,,80,
02-39de964db66b17f133122525a59100c3,2,spi_nrfx_driver_api,,,,,,,,,,8,
02-3a398a246c2152d9ecc35b059c0da1f1,2,hfclk_users,,,,,,,,,,4,
02-3a489591cbc0848d0d882e3afb3617d8,2,__isr_table_entry_z_irq_spurious_irq_588,,,,,,,,,,8,
02-3b68c8058a2d6ba9e002a0bf8348e2f5,2,var_str.0,,,,,,,,,,16,
02-3b8238b190187fceef29c292cb88b526,2,z_main_stack,,,,,,,,,,3584,
02-3b834c10274f71700dcb6c2f8af2d2f1,2,uarte_20_data,,,,,,,,,,8,
02-3bb729b20beac8a5e0aaa9e0def1e6d4,2,__isr_table_entry_z_irq_spurious_irq_613,,,,,,,,,,8,
02-3c098f83e9848435d4577fc25050a74b,2,__isr_table_entry_z_irq_spurious_irq_538,,,,,,,,,,8,
02-3cc0c8ebf3774c888b4a9b88a7a628c9,2,__isr_table_entry_z_irq_spurious_irq_586,,,,,,,,,,8,
02-3cc54a4e121816675da2d0782e61e5bb,2,lock.lto_priv.5,,,,,,,,,,4,
02-3cca42c4f48f32184dc7d459a6842407,2,z_main_thread,144,144,0.0,144,0.0,144,0.0,144,0.0,144,0.0
02-3d170f020eec630a6305158ecdf7d409,2,__isr_table_entry_z_irq_spurious_irq_763,,,,,,,,,,8,
